effect  compound   furnace
18      1          1
19      1          1
20      1          2
21      1          2
14      1          3
17      1          3
24      2          1
22      2          1
27      2          2
30      2          2
20      2          3
23      2          3
19      3          1
21      3          1
20      3          2
18      3          2
17      3          3
16      3          3
16      4          1
15      4          1
16      4          2
18      4          2
14      4          3
12      4          3
