yield   variety   spacing   block
32      1         1         1
36      1         2         1
42      1         3         1
21      1         1         2
26      1         2         2
33      1         3         2
19      1         1         3
21      1         2         3
26      1         3         3
22      1         1         4
24      1         2         4
26      1         3         4
37      2         1         1
39      2         2         1
50      2         3         1
38      2         1         2
45      2         2         2
54      2         3         2
27      2         1         3
44      2         2         3
54      2         3         3
30      2         1         4
37      2         2         4
42      2         3         4
35      3         1         1
34      3         2         1
33      3         3         1
32      3         1         2
33      3         2         2
29      3         3         2
29      3         1         3
28      3         2         3
25      3         3         3
30      3         1         4
28      3         2         4
26      3         3         4
40      4         1         1
35      4         2         1
28      4         3         1
36      4         1         2
33      4         2         2
28      4         3         2
35      4         1         3
31      4         2         3
23      4         3         3
38      4         1         4
35      4         2         4
30      4         3         4
