yield   field   irrigation      fertilizer
43      1       1       1
48      1       1       2
63      1       2       1
70      1       2       2
40      2       1       1
43      2       1       2
52      2       2       1
53      2       2       2
31      3       1       1
36      3       1       2
45      3       2       1
48      3       2       2
27      4       1       1
30      4       1       2
47      4       2       1
51      4       2       2
36      5       1       1
39      5       1       2
54      5       2       1
57      5       2       2
