water81   water80   income   educat   peop81   retired
 2300      3500      35       18       3        0
 2500      4600      60       20       5        0
 4000      3800      30       16       6        0
  500      1500      20       11       1        1
 4400      4300      50       20       2        0
 1900      1500      18       13       5        0
 3600      3500      25       14       3        1
 2200      2400      21       20       2        1
 2300      1900      13       11       4        0
 2200      2500      30       20       2        0
 3500      3300      13       11       3        0
 3600      3100      30       20       5        0
 3000      3700      35       16       5        0
 4400      3700      15       16       7        0
 4000      4000      35       12       8        0
 1600      1500      15       13       4        0
 1000      1200      19       12       1        1
 1400      1700      35       10       3        0
 3900      4700      25       16       3        1
 1100      1100       7       11       2        1
 1300      1500      25       12       4        0
 3100      2800      29       13       4        0
 1600      2500      26       16       2        0
  500       300      30       18       2        1
 7100      5300      20       13       8        0
  800      1000      17       13       2        1
 2300      1900      30       12       2        0
 1200      1200      25       18       1        0
 1000      2000      19       14       3        0
  400       700       5        8       2        1
  500      1500      20       13       4        1
 2200      1400      10        9       2        0
 1300      1200       5        8       2        1
 1500       500      11       16       2        1
 1800      1800      15       14       3        0
 3000      1400      40       14       1        1
 2700      2800      30       13       4        0
 2300      4600      53       20       3        0
 2100      2500      25       20       3        0
  700      1000      10       12       2        1
 1500      1700      20       20       4        0
  600       600       5       12       1        1
 1500      1600       5       12       1        1
 1700      1500      10       12       2        1
 3300      3100      13       12       2        1
  600       600       5       12       1        1
 2600      3700      50       20       5        0
 2900      2400      35       14       3        1
 1400      1100       3       11       2        0
 2600      2600      29       18       4        0
 2300      3100      40       12       5        0
 1400      2100      13       11       2        1
 1400      2200      20       12       3        0
 1100      1300      30       14       2        0
 1100      1200      21       16       2        0
  300       200      15       12       2        0
 2400      2500      20       12       3        1
 1100      1000      25       20       4        0
  700       800      20       12       3        1
 1700      2100      25       18       2        0
 2900      3200      10       16       4        1
 9400      9300      25       12      10        0
 1800      2400      45       20       4        0
 2100      1500      10       18       3        0
 3200      3000      72       14       5        1
 1800      2200      17       16       2        1
  300      1200      10       13       2        1
 7500      7500      35       12       5        1
  100       200      35       14       2        1
 4500      3100      15       13       5        0
 2100      1900       5       12       2        1
 2200      1000      45       13       3        0
 2300      1800      10       14       2        0
 1500      1200      25       12       2        0
  700      1100       5       12       1        0
 1000      1800      10       12       2        0
 1400      1300      20       14       3        0
 1000      1100      10       12       1        0
 8100      6800      32       11       7        0
 7300      2600      45       16       4        0
 2900      2500      37       12       3        0
 3000      2300      10       14       2        0
 1100       800      50       18       1        0
 1700      1700      30       13       4        0
 6500      1000      35       12       2        0
 2900      4600      35       20       4        0
 3000      6800      35       18       3        0
 1100      1000      35       12       1        0
 1800      1800      25       14       2        0
 3500      3300      15        9       3        0
 1500      1300      25       16       2        0
 3500      6500      25       14       6        0
 1000      1000      13       12       1        1
 3800     12700      45       20       5        0
 4100      4500      30       20       5        0
