method  group team  rounds
1       1     1     20.2
1       1     1     24.1
1       1     2     26.2
1       1     2     26.9
1       1     3     23.8
1       1     3     24.9
1       2     1     22.0
1       2     1     23.5
1       2     2     22.6
1       2     2     24.6
1       2     3     22.9
1       2     3     25.0
1       3     1     23.1
1       3     1     22.9
1       3     2     22.9
1       3     2     23.7
1       3     3     21.8
1       3     3     23.5
2       1     1     14.2
2       1     1     16.2
2       1     2     18.0
2       1     2     19.1
2       1     3     12.5
2       1     3     15.4
2       2     1     14.1
2       2     1     16.1
2       2     2     14.0
2       2     2     18.1
2       2     3     13.7
2       2     3     16.0
2       3     1     14.1
2       3     1     16.1
2       3     2     12.2
2       3     2     13.8
2       3     3     12.7
2       3     3     15.1
