   blocks     trt AA BB CC DD EE FF GG HH      y 
 1      1     (1)  0  0  0  0  0  0  0  0 -0.544
 2      1     ach  1  0  1  0  0  0  0  1 -0.849
 3      1     aef  1  0  0  0  1  1  0  0  0.559
 4      1    cefh  0  0  1  0  1  1  0  1 -1.050
 5      1     bdh  0  1  0  1  0  0  0  1 -0.299
 6      1    abcd  1  1  1  1  0  0  0  0 -0.505
 7      1  abdefh  1  1  0  1  1  1  0  1 -0.745
 8      1   bcdef  0  1  1  1  1  1  0  0  1.513
 9      1     beg  0  1  0  0  1  0  1  0 -0.085
10      1  abcegh  1  1  1  0  1  0  1  1 -0.237
11      1    abfg  1  1  0  0  0  1  1  0  1.093
12      1   bcfgh  0  1  1  0  0  1  1  1  1.670
13      1    degh  0  0  0  1  1  0  1  1  1.186
14      1   acdeg  1  0  1  1  1  0  1  0 -1.171
15      1   adfgh  1  0  0  1  0  1  1  1 -0.258
16      1    cdfg  0  0  1  1  0  1  1  0 -1.936
17      2      ab  1  1  0  0  0  0  0  0  1.262
18      2     bch  0  1  1  0  0  0  0  1  0.328
19      2     bef  0  1  0  0  1  1  0  0  0.540
20      2  abcefh  1  1  1  0  1  1  0  1 -1.875
21      2     adh  1  0  0  1  0  0  0  1  0.133
22      2      cd  0  0  1  1  0  0  0  0 -1.425
23      2    defh  0  0  0  1  1  1  0  1 -0.965
24      2   acdef  1  0  1  1  1  1  0  0 -0.313
25      2     aeg  1  0  0  0  1  0  1  0  0.731
26      2    cegh  0  0  1  0  1  0  1  1 -0.223
27      2      fg  0  0  0  0  0  1  1  0  0.086
28      2   acfgh  1  0  1  0  0  1  1  1  0.320
29      2  abdegh  1  1  0  1  1  0  1  1 -2.376
30      2   bcdeg  0  1  1  1  1  0  1  0 -0.844
31      2   bdfgh  0  1  0  1  0  1  1  1 -0.894
32      2  abcdfg  1  1  1  1  0  1  1  0 -1.296
33      3      ce  0  0  1  0  1  0  0  0  2.759
34      3     aeh  1  0  0  0  1  0  0  1  0.882
35      3     acf  1  0  1  0  0  1  0  0  0.705
36      3      fh  0  0  0  0  0  1  0  1 -1.344
37      3   bcdeh  0  1  1  1  1  0  0  1 -1.014
38      3    abde  1  1  0  1  1  0  0  0  0.953
39      3  abcdfh  1  1  1  1  0  1  0  1  2.483
40      3     bdf  0  1  0  1  0  1  0  0 -0.550
41      3     bcg  0  1  1  0  0  0  1  0 -1.306
42      3    abgh  1  1  0  0  0  0  1  1 -0.135
43      3  abcefg  1  1  1  0  1  1  1  0 -0.624
44      3   befgh  0  1  0  0  1  1  1  1 -0.984
45      3    cdgh  0  0  1  1  0  0  1  1  0.398
46      3     adg  1  0  0  1  0  0  1  0 -0.929
47      3 acdefgh  1  0  1  1  1  1  1  1 -1.218
48      3    defg  0  0  0  1  1  1  1  0 -0.775
49      4      de  0  0  0  1  1  0  0  0  0.557
50      4   acdeh  1  0  1  1  1  0  0  1  0.058
51      4     adf  1  0  0  1  0  1  0  0 -0.950
52      4    cdfh  0  0  1  1  0  1  0  1 -0.356
53      4     beh  0  1  0  0  1  0  0  1  1.741
54      4    abce  1  1  1  0  1  0  0  0 -1.589
55      4    abfh  1  1  0  0  0  1  0  1  0.442
56      4     bcf  0  1  1  0  0  1  0  0 -0.488
57      4     bdg  0  1  0  1  0  0  1  0 -0.312
58      4  abcdgh  1  1  1  1  0  0  1  1 -0.050
59      4  abdefg  1  1  0  1  1  1  1  0  0.333
60      4 bcdefgh  0  1  1  1  1  1  1  1 -0.789
61      4      gh  0  0  0  0  0  0  1  1  0.852
62      4     acg  1  0  1  0  0  0  1  0  0.825
63      4   aefgh  1  0  0  0  1  1  1  1  0.916
64      4    cefg  0  0  1  0  1  1  1  0  2.696
