Scores from the top 5 finishers in women's free-skating, 2002 Winter
Olympics (Salt Lake City).
http://www.saltlake2002.com/x/f/frame.htm?u=/news/slocmain_front.asp
The skaters in order were Hughes, Slutskaya, Kwan, Cohen, and Suguri.
Scores are coded by 10*(raw-5)

Technique   Presentation      Judge     Skater
7           7                 1         1
8           7                 2         1
8           8                 3         1
8           6                 4         1
8           8                 5         1
8           8                 6         1
7           8                 7         1
8           8                 8         1
8           8                 9         1
7           5                 1         2
8           9                 2         2
9           9                 3         2
8           8                 4         2
8           6                 5         2
8           9                 6         2
8           7                 7         2
7           7                 8         2
8           7                 9         2
6           7                 1         3
7           8                 2         3
8           9                 3         3
7           8                 4         3
6           8                 5         3
6           9                 6         3
6           8                 7         3
7           8                 8         3
6           8                 9         3
5           5                 1         4
8           8                 2         4
7           8                 3         4
7           7                 4         4
7           7                 5         4
6           8                 6         4
6           7                 7         4
6           7                 8         4
6           7                 9         4
5           6                 1         5
4           5                 2         5
7           6                 3         5
4           3                 4         5
6           6                 5         5
5           5                 6         5
5           5                 7         5
4           4                 8         5
5           5                 9         5
