condition    C3C4
0            -4.9
0            -7.8
0            -2.4
0            -1.8
0            -8.2
0            -11.5
0            -2.3
0            -11.6
0            -5.9
0            -17.0
0            -10.1
0            -5.4
0            -14.5
0            -15.3
0            -0.9
0            -2.5
0            -8.0
0            -8.0
0            -1.3
0            -6.3
0            -3.0
0            -17.0
0            -14.8
0            -7.3
0            -7.8
0            -11.3
0            -8.1
0            -17.4
0            -5.5
0            -17.7
0            -5.2
0            -5.8
0            2.5
0            -10.5
0            -6.1
0            -9.4
0            -9.8
0            -0.4
0            -5.7
0            -0.5
0            -2.9
0            -4.9
0            -5.9
0            -16.5
0            -18.0
0            1.9
0            -11.1
0            0.0
0            -11.3
0            -2.4
0            -8.9
0            -1.1
0            -10.9
0            -4.1
0            -5.1
0            -5.6
0            -6.4
0            -2.9
0            0.1
0            -10.9
0            -7.6
0            0.9
0            -5.4
0            -7.3
0            -2.2
0            -8.4
0            -2.6
0            -4.5
0            -6.9
0            -5.7
0            -11.0
0            0.0
1            -3.1
1            -4.7
1            -10.4
1            -8.0
1            -3.8
1            -9.8
1            -1.3
1            7.3
1            -2.7
1            -6.7
1            1.1
1            -10.0
1            -5.0
1            -11.0
1            -1.0
1            -18.6
1            -6.9
1            -9.0
1            -9.0
1            2.2
1            -11.4
1            -15.4
1            -8.1
1            -4.8
1            2.6
1            -2.9
1            -10.1
1            -7.9
1            0.4
1            -10.9
1            -14.9
1            2.2
1            -15.6
1            -6.8
1            -3.1
1            -11.7
1            5.1
1            -4.8
1            1.5
1            -9.4
1            -5.9
1            2.6
1            -6.1
1            -6.2
1            0.6
1            -3.8
1            -7.5
1            -1.7
1            -14.7
1            -2.3
1            -5.4
1            -10.2
2            3.7
2            -3.8
2            -0.1
2            -0.4
2            -3.0
2            -5.8
2            -2.4
2            2.3
2            0.0
2            1.2
2            0.7
2            -7.6
2            4.9
2            10.1
2            8.7
2            -5.3
2            3.1
2            -1.9
2            -3.9
2            -8.2
2            -6.6
2            -14.2
2            -4.8
2            -3.6
2            -12.9
2            -9.4
2            -12.8
2            -7.8
2            -5.7
2            -3.6
2            -3.2
2            -9.6
2            3.1
2            -7.7
2            -10.3
2            7.1
2            -3.5
2            -9.0
2            -3.0
2            3.8
2            0.7
2            1.5
2            -0.7
2            -3.4
2            -3.5
2            -4.9
2            -8.3
2            -10.2
2            2.8
2            -6.1
2            -4.9
2            -7.0
2            -4.8
2            -7.3
2            3.2
2            -1.9
2            0.5
2            -13.3
2            -11.4
2            -0.9
2            -13.1
2            -5.5
2            -12.7
2            -1.1
2            -1.8
2            2.2
2            -4.3
2            -7.1
2            4.3
2            -7.5
