strength   day   alloy  temperature
58         1     3      750
34         1     3      675
69         1     2      700
73         1     1      725
38         1     1      750
30         1     2      675
79         1     3      700
80         1     3      725
45         1     2      750
18         1     1      675
57         1     1      700
82         1     2      725
38         2     3      675
79         2     2      725
53         2     2      750
62         2     1      700
24         2     1      675
65         2     1      725
45         2     1      750
73         2     3      700
36         2     2      675
82         2     3      725
60         2     3      750
56         2     2      700
51         3     1      700
88         3     3      725
50         3     3      750
33         3     2      675
59         3     2      700
88         3     2      725
39         3     1      750
32         3     3      675
70         3     3      700
72         3     1      725
45         3     2      750
17         3     1      675
