weight        dose
 28.050000    0
 33.333333    0
 36.366666    0
 35.516666    0
 36.766666    0
 29.600000    0
 27.716666    0
 33.666666    0
 32.550000    0
 32.783333    0
 31.050000    0
 33.400000    0
 30.200000    0
 28.633333    0
 33.383333    0
 33.433333    0
 29.633333    0
 33.083333    0
 31.533333    0
 35.483333    0
 34.833333    5
 26.333333    5
 24.283333    5
 38.633333    5
 27.916666    5
 33.850000    5
 24.950000    5
 33.200000    5
 36.033333    5
 26.800000    5
 31.666666    5
 30.333333    5
 26.833333    5
 32.183333    5
 33.766666    5
 21.300000    5
 25.783333    5
 19.900000    5
 28.283333    5
 31.283333    50
 35.800000    50
 27.966666    50
 33.133333    50
 30.600000    50
 30.166666    50
 27.066666    50
 32.016666    50
 36.716666    50
 28.500000    50
 21.583333    50
 30.816666    50
 30.550000    50
 27.633333    50
 22.966666    50
 29.550000    50
 31.933333    50
 29.300000    50
 24.550000    500
 33.783333    500
 32.983333    500
 25.383333    500
 30.316666    500
 19.216666    500
 26.366666    500
 28.600000    500
 19.700000    500
 32.883333    500
 26.116666    500
 33.200000    500
 32.966666    500
 38.750000    500
 33.150000    500
 30.700000    500
 35.316666    500
