Y     block  B  A  C  P
 183  1      0  0  1  1
 350  1      1  1  1  1
 188  1      0  1  0  1
 881  1      0  0  0  0
 225  1      0  1  1  0
 298  1      1  1  0  0
1039  1      1  0  0  1
 466  1      1  0  1  0
 650  2      0  0  0  1
1180  2      1  0  0  0
 238  2      1  1  0  1
 191  2      0  0  1  0
 420  2      1  1  1  0
 289  2      0  1  0  0
 135  2      0  1  1  1
 781  2      1  0  1  1
 273  3      1  1  0  0
 890  3      1  0  1  0
 370  3      0  1  1  0
 834  3      0  0  0  0
 193  3      0  0  1  1
 389  3      1  1  1  1
 163  3      0  1  0  1
1146  3      1  0  0  1
1193  4      1  0  0  0
 156  4      0  1  1  1
 257  4      0  0  1  0
 178  4      0  1  0  0
 254  4      1  1  0  1
 775  4      1  0  1  1
 494  4      0  0  0  1
 429  4      1  1  1  0
