feet    inch    lbs     months  sex    meters
5       4.00    115     245     f       *    
5       5.00    148     266     f       *    
5       4.00    150     288     f       *    
*       *       128     252     f       1.65 
5       7.00    128     273     f       *     
5       8.00    160     227     f       *     
6       0.00    220     288     m       *     
6       0.00    195     248     m       *     
4      11.00    108     255     f       *     
5       5.00    170     240     f       *     
5       6.00    120     224     m       *     
5       7.75    182     233     f       *     
5       5.00    125     218     f       *     
5       4.00    125     243     f       *     
5       5.00    125     324     f       *     
5       2.00    140     264     m       *     
5       6.00    150     233     m       *     
5       2.00    124     276     f       *     
5       5.00    125     288     m       *     
5       6.00    145     252     m       *     
5       9.00    190     288     m       *     
6       2.00    160     240     m       *     
6       0.00    160     246     m       *     
6       0.00    189     257     m       *     
5       7.00    125     231     f       *     
5       2.00    195     236     f       *     
6       3.00    175     238     *       *     
5       3.00    115     240     f       *     
5       6.00    165     230     f       *     
5       4.00    170     216     f       *     
5       2.00    143     252     f       *     
6       0.00    160     236     m       *     
6       3.00    190     232     m       *     
5       6.00    139     237     f       *     
5       8.00    168     276     m       *     
5       4.00    110     228     f       *     
5       6.00    120     241     f       *     
5       2.00    110     337     f       *     
6       1.00    175     264     m       *     
