nitro  combo  trt
14.2   0      1
21.1   0      1
21.9   0      1
30.5   0      1
20.5   0      1
26.8   0      2
25.9   0      2
25.8   0      2
26.9   0      2
17.6   0      2
30.6   0      3
25.7   0      3
27.1   0      3
25.0   0      3
37.4   0      3
23.3   0      4
22.0   0      4
33.4   0      4
30.8   0      4
25.8   0      4
32.2   0      5
27.0   0      5
23.5   0      5
26.8   0      5
23.6   0      5
30.1   0      6
26.2   0      6
29.1   0      6
18.8   0      6
38.0   0      6
25.8   1      1
28.6   1      1
25.6   1      1
29.9   1      1
22.2   1      1
37.8   1      2
44.6   1      2
32.8   1      2
23.5   1      2
22.6   1      2
29.4   1      3
31.0   1      3
30.7   1      3
29.0   1      3
24.8   1      3
30.1   1      4
37.8   1      4
29.6   1      4
21.0   1      4
33.7   1      4
22.2   1      5
27.6   1      5
30.2   1      5
28.8   1      5
22.2   1      5
41.5   1      6
35.1   1      6
36.1   1      6
30.6   1      6
33.7   1      6
