ht2     ht9      h18
87.7    133.4    158.9
90.0    134.8    166.0
89.6    141.5    162.2
90.3    137.1    167.8
89.4    136.1    170.9
85.5    130.6    164.9
90.2    136.0    168.1
82.2    128.0    164.0
85.6    132.4    163.3
97.3    152.5    183.2
87.1    138.4    167.0
88.9    135.2    163.8
87.6    142.3    174.0
82.6    129.1    163.0
87.1    133.2    167.1
84.0    136.3    168.1
83.6    133.1    163.0
81.4    123.2    154.6
89.7    135.8    170.3
88.4    139.5    170.6
86.4    139.4    175.1
83.8    124.2    156.5
87.6    135.6    160.3
94.0    144.1    170.8
82.0    123.8    156.5
86.4    134.6    165.2
88.9    137.2    169.8
86.7    139.8    171.2
86.4    128.8    160.4
86.4    134.2    163.8
83.8    136.5    169.6
88.9    140.8    172.7
85.9    132.1    162.4
86.2    137.0    166.8
85.1    129.0    157.1
88.6    139.4    181.1
83.0    125.6    158.4
88.9    137.1    165.6
89.7    133.6    166.7
81.3    121.4    156.5
88.7    133.6    168.1
88.4    134.1    165.3
85.1    139.4    163.7
91.4    138.1    173.7
87.6    133.2    163.9
86.1    138.4    169.2
94.0    139.5    170.1
85.9    132.8    166.0
82.2    129.8    164.2
88.2    144.8    176.0
87.5    138.9    170.9
88.6    140.3    169.2
86.9    143.8    172.0
86.4    133.6    163.0
80.9    123.5    154.5
90.0    139.9    172.5
94.0    136.1    175.6
89.7    135.8    167.2
86.4    131.9    164.0
82.6    133.1    162.1
86.4    130.9    161.6
81.8    126.3    153.6
86.2    135.9    177.5
86.0    135.0    169.8
91.4    135.5    173.5
88.9    136.5    166.8
88.6    134.0    166.2
86.4    138.2    162.8
94.0    142.0    168.6
89.2    140.8    169.2
