   Time            Sign      Chimp
    178              1         1
     60              2         1
    177              3         1
     36              4         1
    225              5         1
    345              6         1
     40              7         1
      2              8         1
    287              9         1
     14             10         1
     78              1         2
     14              2         2
     80              3         2
     15              4         2
     10              5         2
    115              6         2
     10              7         2
     12              8         2
    129              9         2
     80             10         2
     99              1         3
     18              2         3
     20              3         3
     25              4         3
     15              5         3
     54              6         3
     25              7         3
     10              8         3
    476              9         3
     56             10         3
    297              1         4
     20              2         4
    195              3         4
     18              4         4
     24              5         4
    420              6         4
     40              7         4
     15              8         4
    372              9         4
    190             10         4
