block     treat      pre     yield
1         1          8.2     287
1         2          8.2     271
1         3          6.8     234
1         4          5.7     189
1         5          6.1     210
1         6          7.6     222
2         1          9.4     290
2         2          6.0     209
2         3          7.0     210
2         4          5.5     205
2         5          7.0     276
2         6         10.1     301
3         1          7.7     254
3         2          9.1     243
3         3          9.7     286
3         4         10.2     312
3         5          8.7     279
3         6          9.0     238
4         1          8.5     307
4         2         10.1     348
4         3          9.9     371
4         4         10.3     375
4         5          8.1     344
4         6         10.5     357
