mortality    calcium    derbynor
1247         105        0
1668         17         1
1466         5          0
1800         14         1
1609         18         1
1558         10         1
1807         15         1
1299         78         0
1637         10         1
1359         84         0
1392         73         0
1755         12         1
1307         78         0
1254         96         0
1491         20         1
1555         39         1
1428         39         1
1318         122        0
1260         21         0
1723         44         1
1379         94         1
1742         8          1
1574         9          1
1569         91         1
1096         138        0
1591         16         1
1402         37         0
1772         15         1
1828         8          1
1704         26         1
1702         44         1
1309         59         0
1259         133        0
1427         27         1
1724         6          1
1175         107        0
1486         5          0
1456         90         0
1696         6          1
1236         101        0
1711         13         1
1444         14         1
1591         49         1
1987         8          1
1495         14         1
1369         68         0
1257         50         0
1587         75         1
1713         71         1
1557         13         1
1640         57         1
1709         71         1
1625         20         1
1527         60         0
1627         53         0
1486         122        0
1485         81         0
1378         71         1
1519         21         0
1581         14         0
1625         13         0
