period  square  sequence  cow  treat  yield  nores restreat
     1       1        1     1     1      38      0      0
     1       1        2     2     2     109      0      0
     1       1        3     3     3     124      0      0
     1       2        1     4     1      86      0      0
     1       2        2     5     2      75      0      0
     1       2        3     6     3     101      0      0
     2       1        1     1     2      25      1      1
     2       1        2     2     3      86      1      2
     2       1        3     3     1      72      1      3
     2       2        1     4     3      76      1      1
     2       2        2     5     1      35      1      2
     2       2        3     6     2      63      1      3
     3       1        1     1     3      15      1      2
     3       1        2     2     1      39      1      3
     3       1        3     3     2      27      1      1
     3       2        1     4     2      46      1      3
     3       2        2     5     3      34      1      1
     3       2        3     6     1       1      1      2
