state  college   incom
AL     20.4      20487
AK     28.1      26171
AZ     24.6      21947
AR     18.4      19479
CA     27.5      26808
CO     34.6      27573
CT     31.6      32556
DE     24.0      26305
DC     38.3      30243
FL     22.8      24090
GA     23.1      23712
HI     26.3      24570
ID     20.0      20889
IL     27.1      27167
IN     17.1      22941
IA     25.5      23154
KS     27.3      23808
KY     20.5      20845
LA     22.5      20508
ME     24.1      21929
MD     32.3      28147
MA     32.7      30998
MI     23.0      25027
MN     31.2      26857
MS     18.7      18686
MO     26.2      23526
MT     23.8      19690
NE     24.6      23857
NV     19.3      26105
NH     30.1      28719
NJ     30.1      30560
NM     23.6      19472
NY     28.7      28296
NC     23.2      23219
ND     22.6      22229
OH     24.6      24023
OK     22.5      20449
OR     27.2      23822
PA     24.3      25117
RI     26.4      25448
SC     19.0      21048
SD     25.7      23301
TN     22.0      23154
TX     23.9      24248
UT     26.4      20719
VT     28.8      23007
VA     31.9      26078
WA     28.6      26855
WV     15.3      19258
WI     23.8      23795
WY     20.6      23179
