  305  86 108  32 330 249  93 111 225 359  19 129
  159 144  29 271 298 228 350  45 161 125  34 328
  251 297 267  83  40 301 115 261  49 244 348 157
  215 210 275  81 276  20 279 145 232 202 266 165
  101 214 293 269 364  28 188  54  82  24 310  56
  224 347 139 253 155 110 327 114   6  87  76  10
  306  91 122 147  35  85  50 168   8 234  51  12
  199 181 213 312 321 366  13  48 184 283  97 105
  194 338 317 219 197 335 277 106 263 342  80  43
  325 216 323 218  65 206 284  21  71 220 282  41
  329 150 136  14  37 134 248 324 158 237  46  39
  221  68 300 346 133 272  15 142 242  72  66 314
  318 152 259 124 295  69  42 307 175 138 126 163
  238   4 354 231 178 356 331 198   1 294 127  26
   17  89 169 273 130 180 322 102 113 171 131 320
  121 212 166 148  55 274 120  44 207 254 107  96
  235 189  33 260 112  73  98 154 255 288 143 304
  140 292 332  90 278 341 190 141 246   5 146 128
   58  25 200 336  75 104 227 311 177 241 203 240
  280 302 239 345 183 360 187 344  63 192 185 135
  186 363 334  62 250  60  27 291 204 243 156  70
  337 290 265 316 326 247 153 339 160 117   9  53
  118  57 256 252 319 109 172 116 119 201 182 162
   59 236 258   2  31 358  23  36 195 196 230  95
   52 179 343 351 361 137  67 286 149 176 132  84
   92 365 170 340 357  22 303 245  18   7 309 173
  355 205 268  74 296  64 289 352 233 264  47  78
   77 299 223 262 308 222  88 167 257  94 281 123
  349 285 362 191 226 353 270  61 151 229  99  16
  164     217 208 103 209 287 333 315  38 174   3
  211      30     313     193  11      79     100
