Fat   Lab     Technician     Sample
.62    1          1            1
.55    1          1            1
.34    1          1            2
.24    1          1            2
.80    1          2            1
.68    1          2            1
.76    1          2            2
.65    1          2            2
.30    2          1            1
.40    2          1            1
.33    2          1            2
.43    2          1            2
.39    2          2            1
.40    2          2            1
.29    2          2            2
.18    2          2            2
.46    3          1            1
.38    3          1            1
.27    3          1            2
.37    3          1            2
.37    3          2            1
.42    3          2            1
.45    3          2            2
.54    3          2            2
.18    4          1            1
.47    4          1            1
.53    4          1            2
.32    4          1            2
.40    4          2            1
.37    4          2            1
.31    4          2            2
.43    4          2            2
.35    5          1            1
.39    5          1            1
.37    5          1            2
.33    5          1            2
.42    5          2            1
.36    5          2            1
.20    5          2            2
.41    5          2            2
.37    6          1            1
.43    6          1            1
.28    6          1            2
.36    6          1            2
.18    6          2            1
.20    6          2            1
.26    6          2            2
.06    6          2            2
