quality    feelevel    scope    supervis
124.3      1           1        1
120.6      1           1        1
120.7      1           1        1
122.6      1           1        1
112.7      1           1        2
110.2      1           1        2
113.5      1           1        2
108.6      1           1        2
115.1      1           2        1
119.9      1           2        1
115.4      1           2        1
117.3      1           2        1
 88.2      1           2        2
 96.0      1           2        2
 96.4      1           2        2
 90.1      1           2        2
119.3      2           1        1
118.9      2           1        1
125.3      2           1        1
121.4      2           1        1
113.6      2           1        2
109.1      2           1        2
108.9      2           1        2
112.3      2           1        2
117.2      2           2        1
114.4      2           2        1
113.4      2           2        1
120.0      2           2        1
 92.7      2           2        2
 91.1      2           2        2
 90.7      2           2        2
 87.9      2           2        2
 90.9      3           1        1
 95.3      3           1        1
 88.8      3           1        1
 92.0      3           1        1
 78.6      3           1        2
 80.6      3           1        2
 83.5      3           1        2
 77.1      3           1        2
 89.9      3           2        1
 83.0      3           2        1
 86.5      3           2        1
 82.7      3           2        1
 58.6      3           2        2
 63.5      3           2        2
 59.8      3           2        2
 62.3      3           2        2
