Task   Pulse
1       27
1       31
1       26
1       32
1       39
1       37
1       38
1       39
1       30
1       28
1       27
1       27
1       34
2       29
2       28
2       37
2       24
2       35
2       40
2       40
2       31
2       30
2       25
2       29
2       25
3       34
3       36
3       34
3       41      
3       30
3       44
3       44
3       32
3       32      
3       31      
4       34
4       34      
4       43
4       44
4       40
4       47
4       34
4       31
4       45
4       28
5       28
5       28
5       26
5       35
5       31
5       30
5       34
5       34
5       26
5       20
5       41
5       21
6       28
6       26
6       29
6       25
6       35
6       34
6       37
6       28
6       21
6       28
6       26
