retained   temp    supp
33          40      2
37          40      2
50          40      4
56          40      4
72          40      6
64          40      6
77          40      8
73          40      8
67          40     10
73          40     10
60          80      2
64          80      2
79          80      4
73          80      4
80          80      6
88          80      6
79          80      8
87          80      8
84          80     10
80          80     10
46         120      2
50         120      2
72         120      4
58         120      4
72         120      6
80         120      6
81         120      8
77         120      8
69         120     10
83         120     10
