bodyfat       abdomin          biceps         forearm       wrist
12.6           85.2            32.0           27.4          17.1
6.9            83.0            30.5           28.9          18.2
24.6           87.9            28.8           25.2          16.6
10.9           86.4            32.4           29.4          18.2
27.8           100.0           32.2           27.7          17.7
20.6           94.4            35.7           30.6          18.8
19.0           90.7            31.9           27.8          17.7
12.8           88.5            30.5           29.0          18.8
5.1            82.5            35.9           31.1          18.2
12.0           88.6            35.6           30.0          19.2
7.5            83.6            32.8           29.4          18.5
8.5            90.9            37.2           30.2          19.0
20.5           91.6            32.5           28.6          17.7
20.8           101.8           36.9           31.6          18.8
21.7           96.4            36.1           30.5          18.2
20.5           92.8            31.1           26.4          16.9
28.1           96.4            36.2           30.8          17.3
22.4           97.5            38.2           31.6          19.3
16.1           89.6            37.2           30.5          18.5
16.5           100.5           37.1           30.1          18.2
19.0           95.9            32.5           30.3          18.4
15.3           98.8            33.0           32.8          19.9
15.7           76.4            27.9           25.9          16.7
17.6           80.0            29.8           26.7          17.1
14.2           76.3            31.1           28.0          17.6
4.6            79.7            29.9           28.2          17.7
8.5            74.6            28.7           27.0          16.5
22.4           88.7            29.2           26.6          17.0
4.7            73.9            30.5           27.9          17.2
9.4            83.5            30.1           26.7          17.6
12.3           88.7            32.5           27.7          18.4
6.5            84.5            30.1           26.4          17.9
13.4           79.1            29.0           30.0          18.8
20.9           100.5           37.5           31.5          18.7
31.1           115.6           37.3           31.7          19.7
38.2           113.1           32.0           29.8          17.0
23.6           100.9           35.1           30.6          19.0
27.5           98.8            33.2           30.5          19.4
33.8           148.1           45.0           29.0          21.4
31.3           108.1           34.1           31.0          18.3
33.1           126.2           36.4           32.7          21.4
31.7           104.3           33.6           28.7          17.4
30.4           111.2           36.7           29.8          18.4
30.8           104.3           35.8           31.5          18.8
8.4            76.0            26.1           23.1          16.1
14.1           81.5            29.7           27.4          18.3
11.2           73.7            27.9           26.2          17.3
