price   sqft       custom  corner    taxes
2050    2650       1       0         1639
2080    2600       1       0         1088
2150    2664       1       0         1193
2150    2921       1       0         1635
1999    2580       1       0         1732
1900    2580       0       0         1534
1800    2774       0       0         1765
1560    1920       1       0         1161
1449    1710       1       0         1010
1375    1837       0       0         1191
1270    1880       0       0         930
1250    2150       0       0         984
1235    1894       1       0         1112
1170    1928       1       0         600
1180    1830       0       0         733
1155    1767       0       0         794
1110    1630       0       1         867
1139    1680       0       1         750
995     1725       0       0         923
995     1500       0       0         743
975     1430       0       0         752
975     1360       0       0         696
900     1400       0       1         731
960     1573       0       0         768
860     1385       0       0         653
1695    2931       0       1         1142
1553    2200       0       0         1035
1300    2000       1       0         1076
1020    1478       0       1         626
1020    1713       0       1         600
922     1326       0       0         668
925     1050       0       1         553
899     1464       1       0         566
850     1190       0       0         600
890     1746       0       0         591
870     1280       0       0         599
700     1215       0       0         477
720     1121       0       0         398
749     1733       0       0         656
731     1299       0       0         585
725     1140       0       1         490
670     1181       0       0         440
2150    2848       1       0         1487
1599    2440       1       0         1265
1350    2253       1       0         939
1299    2743       1       1         1232
1250    2180       0       1         1141
1239    1706       0       0         810
1200    1948       0       0         899
1125    1710       1       0         800
1100    1657       0       0         865
1080    2200       0       0         1076
1050    1680       0       0         875
1049    1900       0       0         690
955     1565       1       0         648
934     1543       0       0         820
875     1173       0       0         456
889     1549       0       0         723
855     1900       0       0         780
835     1560       0       1         638
810     1365       0       0         673
805     1258       0       1         821
799     1314       0       0         671
750     1338       0       1         649
759     997        0       0         461
750     1030       0       0         486
730     1027       0       0         427
729     1007       0       0         513
710     1083       0       0         504
670     1350       0       0         622
619     837        0       0         342
1295    3750       1       1         1200
975     1500       1       1         700
939     1428       0       0         701
820     1375       0       0         585
780     1080       1       0         600
770     900        0       0         391
700     1505       0       1         591
540     1142       0       0         223
1070    1464       0       0         376
2100    2116       1       0         1209
725     1280       0       0         447
660     1159       0       0         225
580     1051       0       0         426
1844    2250       1       0         915
1580    2563       1       0         1189
699     1400       1       1         481
1160    1720       0       0         867
1109    1740       0       0         816
1129    1700       0       0         725
1050    1620       0       0         800
1045    1630       0       0         750
1050    1920       0       0         944
1020    1606       0       0         811
1000    1535       0       1         668
1030    1540       0       1         826
975     1739       0       0         880
950     1715       0       0         900
940     1305       0       0         647
920     1415       0       0         866
945     1580       0       0         810
874     1236       0       0         707
872     1229       0       0         721
870     1273       0       0         638
869     1165       0       0         694
766     1200       0       1         634
739     970        0       1         541
