Time  Chemical  Panel  Sample
10.3  1         1      1
 9.8  1         1      2
 5.8  1         2      1
 5.4  1         2      2
 8.7  1         3      1
10.0  1         3      2
 8.9  1         4      1
 9.4  1         4      2
 4.4  2         1      1
 4.7  2         1      2
 2.7  2         2      1
 1.6  2         2      2
 4.6  2         3      1
 4.0  2         3      2
 5.6  2         4      1
 3.4  2         4      2
 3.1  3         1      1
 3.3  3         1      2
 6.5  3         2      1
 5.4  3         2      2
 5.1  3         3      1
 7.5  3         3      2
 5.6  3         4      1
 4.2  3         4      2
