price  frontage invgate  stories  beds drarea  kitarea  nobase  firep garage age  lotsize  time      unrate
145000 0         3.57    2        4    132     144       .00    1     1.00   30    8970     1.17     7
175000 0          .      2        5    180     180       .00    1     1.00   18    9375     7.47     7
157000 1         4.79    2        4    156     169       .00    1     1.00   26    7920    10.03     8
 68000 0        20.96    1        2     72      88      1.00    1      .00    7       .    11.17     7
142000 1         5.32    2        3    108     126       .00    2     1.00   28   10080     7.70     7
144750 0         2.01    2        4    143     234       .00    1     1.00   25   10295    14.33     7
 90200 0        16.76    1        2     72      72      1.00    1     1.00    3       .    11.33     7
154000 0          .      2        4    156     210       .00    1     1.00   30   25200     9.20     6
150000 0         3.26    2        4    143     156       .00    1     1.00   30    8820    10.03     7
 96700 1        22.35    3        1     80      99       .00    1      .00    3       .    14.43     7
137900 1        15.24    2        2     88      88      1.00    1     1.00    3       .    15.80     7
 57900 0         6.33    1        1     72      96      1.00    1      .00   11       .    16.00     7
195000 1          .      2        4    121     176       .00    1     1.00   29    9250     6.83     7
157000 0         3.39    2        4    132     132       .00    1     1.00   30   13195    10.57     8
172000 1         6.57    2        4    132     204       .00    1     1.00   23   12896    10.43     8
141000 0         2.79    2        4    156     143       .00    1     1.00   25   20305    10.03     7
164500 0         2.07    2        4    144     117       .00    1     1.00   21    9375    10.10     8
 90000 0        16.76    1        2     80      72      1.00    1     1.00    3       .    11.27     7
195000 1         5.78    2        4    144     204       .00    1     1.00   19   15252    12.53     7
 84500 1        27.94    1        3     72      90      1.00    1      .00    6       .    13.17     7
145000 0         2.89    1        3    121     143       .00    1     1.00   21   10000     9.13     7
180000 1         5.00    2        5    156     234       .00    1     1.00   23   10625    11.53     7
195000 0         2.97    2        4    154       .       .00    1     1.00    3   10875    12.73     7
156300 0         2.00    2        4    132     234       .00    1     1.00   28    9375    14.57     7
135500 1         3.39    2        2      .     120       .00    1     1.00   11    5520    13.47     7
175000 0         8.18    2        4    144     216       .00    1     1.00   28   19375    14.20     7
 83000 0        15.97    1        2     72      88      1.00    1      .00    5       .    13.80     7
 68000 0          .      1        2      .       .      1.00    0      .00   11       .    19.23     5
101000 0          .      2        3    120     120      1.00    1      .00   15    1250    16.33     7
140000 0         2.00    2        4    144     120       .00    1     1.00   25   11250    12.17     7
167500 1         8.38    2        4    132     192       .00    1     1.00   25    9375    15.83     7
 60000 0         6.57    1        1     72      88      1.00    1      .00    8       .    15.13     7
 67500 0         6.57    1        1     72       .      1.00    1      .00    9       .    14.87     7
160000 0         3.68    3        3    180     144       .00    1     1.00   30    9408    16.40     7
182000 0         3.81    2        4    144     216       .00    1     1.00   23   11475    14.60     7
 91000 0        11.18    1        2     81      81      1.00    1     1.00    4       .    15.47     7
135000 0         3.90    2        3    130     182       .00    1     1.00   20    9375    15.10     7
114000 0         3.61    2        3    132      64       .00    1     1.00   10    3024    19.27     6
 94000 1        15.24    1        2     72      72      1.00    1     1.00    3       .    20.53     6
166000 0         3.05    2        4    156     154       .00    1     1.00   26    9375    15.27     7
 97000 0        13.41    1        2    154     120      1.00    1     1.00    4       .    16.87     7
173500 0         4.35    2        4    144     192       .00    1     1.00   25    9000    15.50     7
165000 0         1.93    2        4    144     216       .00    1     1.00   25    9375    17.07     7
189000 1         2.66    2        4    144     192       .00    1     1.00   20    8750    16.20     7
